서울덕수초등학교,서울시 중구 퇴계로22길 17,02-735-7225 
우리은행 연희동지점,서울시 서대문구 연희로  125,02-324-7001
연남어린이집,서울시 마포구 연남로7길  32-10,02-322-6180
버클리어린이집,서울시 강서구 강서로47바길 21,02-2663-5955
서울시청,서울시 중구 세종대로 110,120
에이스테크노타워,서울시 영등포구 당산로2길  12,
혜원어린이집,서울시 중랑구 상봉로16가길 14,02-433-4845(팩스)
갑을그레이트밸리,서울시 금천구 디지털로9길  32,
시립장애인구강진료센터,서울시 성동구 마장로  207,
창4동주민센터,서울시 도봉구 노해로  390,02-2091-5891
공항컨벤션웨딩,서울시 강서구 강서로 357,
연남동주민센터,서울시 마포구 성미산로29길  17-9,02-3153-6874
창신3동 주민센터,서울시 종로구 지봉로 87,02-2148-5453
CGV구로,서울시 구로구 구로중앙로 152,1544-1122
성북우체국,서울시 성북구 동소문로  310,02-919-0014 
예일몬테소리어린이집,서울시 송파구 백제고분로24길 16,
명지어린이집,서울시 양천구 곰달래로9길 72,02-2601-7005
장암교회어린이집,서울시 성북구 월곡로5길 39,
대건어린이집,서울시 구로구 구일로8길  16,02-866-9901
산위의마을어린이집,서울시 광진구 용마산로7길 39,
키즈팜어린이집,서울시 광진구 뚝섬로47길 33,
둥지어린이집 ,서울시 중랑구 공릉로14길 19,02-974-6893
돈암우체국,서울시 성북구 보문로  178,02-923-0430
동명정보산업고등학교,서울시 은평구 통일로  793,02-386-4044
금일어린이집,서울시 성동구 난계로  18,02-2291-8629
꽃길어린이집,서울시 강북구 인수봉로52가길 42,
서울불교대학원대학교,서울시 금천구 독산로70길 8,02-890-2800
으뜸어린이집,서울시 양천구 신정중앙로 60,02-2693-0648
BIZ.Center2차,서울시 구로구 디지털로33길 12,
벽산디지털밸리6,서울시 금천구 가산디지털1로  219,
홈플러스 신내점,서울시 중랑구 신내로  201,02-2024-8000
금강 펜테리움 IT타워,서울시 영등포구 당산로 171,
노원청소년수련관,서울시 노원구 덕릉로70길 99,02-3391-4141
서울재활병원,서울시 은평구 갈현로11길  30,02-6020-3000
가든파이브 NC백화점(LIFE관),서울시 송파구 충민로 66,02-2157-5000
아름다운 어린이집,서울시 동작구 사당로 161,02-3473-9125
STX.WTOWER,서울시 구로구 경인로53길  90,010-7363-****
인화어린이집,서울시 도봉구 노해로54길  84,02-996-3078
에이스하이엔드타워7차,서울시 금천구 가산디지털2로 67,
망우본동주민센터,서울시 중랑구 망우로77길 12,02-2094-6480
신길3동주민센터,서울시 영등포구 신길로41라길 13-8,02-2670-1456
CGV목동,서울시 양천구 목동동로 257,1544-1122
창문여자고등학교,서울시 강북구 월계로 61,02-986-1705
큰별어린이집,서울시 동작구 흑석한강로28길 1,
서울지방국토관리청,서울시 중구 정동길 18,02-2125-2500
아이와나무어린이집,서울시 광진구 천호대로123길 4-4,02-452-5579
기린어린이집,서울시 은평구 연서로41가길 24-1,
놀이카페어린이집,서울시 강북구 삼양로73길 11,
누원초,서울시 도봉구 마들로  859-44,02-955-5162
도봉세무서,서울시 강북구 도봉로 117,02-944-0200
방화3동주민센터,서울시 강서구 금낭화로24길  5,02-2600-5275
대림1동주민센터,서울시 영등포구 디지털로 441,02-2670-1460
성북구청,서울시 성북구 보문로  168,02-920-3114
원묵중학교,서울시 중랑구 신내로23길  57,02-2094-9808
성바오로관절센터,서울시 동대문구 왕산로36길 7,
연세방병원,서울시 노원구 동일로197길 11,02-1577-4447
연신초등학교,서울시 은평구 연서로  347,02-387-0373
뉴스타트병원,서울시 송파구 송이로 76,02-407-7700
강신중학교,서울시 양천구 남부순환로 604,02-2694-9623
KS병원,서울시 강남구 선릉로 571,02-1566-0075
아이린어린이집,서울시 강서구 초록마을로  157-19,02-2601-1300
㈜세목반도체,서울시 금천구 벚꽃로  244,02-2082-5293
아이들세상어린이집,서울시 광진구 용마산로7길 60,02-3436-4611
성진코원공장,서울시 성동구 성수이로24길   31,
창경초,서울시 도봉구 도봉로129길  54,02-995-5265
상명대학원 에이동,서울시 종로구 세검정로  433,
구정 고등학교,서울시 강남구 압구정로39길 20,070-8255-5202
장평중학교,서울시 동대문구 답십리로72길 158,02-2243-8280
방화동 노유자시설(어린이집),서울시 강서구 방화대로49길  52,
개포1동 우체국,서울시 강남구 선릉로 36,02-575-0205
종암동복합청사,서울시 성북구 종암로 98-8,02-926-3084 
창신2동 주민센터,서울시 종로구 창신길 62,02-2148-5423
이태원1동주민센터,서울시 용산구 보광로 104-6,02-2199-8620
신트리공원 화장실,서울시 양천구 신정로 310-7,
공중화장실(대방역),서울시 영등포구 노량진로  7,
시립구로청소년회관,서울시 구로구 구로동로  141,02-838-1318
늘평화어린이집,서울시 광진구 능동로51길 17,02-499-7758
수유3동우체국,서울시 강북구 도봉로 383,02-994-2007 
중랑우체국,서울시 중랑구 면목로 491,02-434-4300
공릉2동치안센터,서울시 노원구 노원로1길 2,02-971-0618
도봉2주민센터 &lt;도봉서원복지관&gt;,서울시 도봉구 마들로  668,02-2289-1515
청담중학교,서울시 강남구 압구정로61길 36,02-511-5151
서울동부지방검찰청 신관2동,서울시 광진구 아차산로  404,02-2204-4000
광혜병원,서울시 강남구 영동대로86길 9,02-538-7111
중계2.3동주민센터,서울시 노원구 노원로17길 56,02-2116-2675
선한이웃병원,서울시 노원구 화랑로 323,02-914-2000
용두초등학교,서울시 동대문구 천호대로13길 43,02-927-4892
신도림중학교,서울시 구로구 경인로63길 73,02-2676-1992
신구로초등학교,서울시 구로구 가마산로27길 69,02-862-7192
주민센터어린이집,서울시 은평구 은평로 195,
시설관리공단,서울시 관악구 남부순환로 1914,02-2081-2600
서울시북부교육청,서울시 도봉구 노해로  313,02-3499-6990
서대문경찰서(교통센터),서울시 서대문구 성산로  704,
KT성북지점,서울시 성북구 보문로13다길  28,080-258-1048
동명초등학교,서울시 성동구 마장로29길   29,02-2299-5122
상곡초등학교,서울시 노원구 노원로38길 34,02-935-9205
윤중중학교,서울시 영등포구 여의동로3길 3,02-780-8842
네모치과의원(신도타워),서울시 강남구 테헤란로 333,02-564-5956
서울도신초등학교,서울시 영등포구 도림로53길 32-9,02-835-1501
용답초등학교,서울시 성동구 용답25길 1,02-2245-2717
원더키즈학원,서울시 송파구 동남로  286,02-407-5841
서울신양초등학교다동,서울시 광진구 능동로  42,02-2201-8085
숭미초,서울시 도봉구 노해로   179,02-904-9552
구산중학교,서울시 은평구 갈현로15길 20-23,02-389-8785
성남중학교,서울시 동작구 대방동길 74,02-815-1334
조원초등학교,서울시 관악구 조원로 67,02-869-2235
삼육의료원장례식장,서울시 동대문구 망우로 82,02-2215-4444
탑산초등학교,서울시 강서구 허준로  109,02-2659-5101
중화초등학교,서울시 중랑구 신내로7가길  22,02-433-1986
성수2가3동주민센터,서울시 성동구 광나루로2길  35,02-2286-7481
한국거래소 KRX 어린이집,서울시 영등포구 여의나루로 76,
한성대학교미래관,서울시 성북구 삼선교로16길  116,02-760-4114
효문중,서울시 도봉구 우이천로 432,02-999-1785
덕성기술학원,서울시 동작구 노량진로 26,02-2675-4000
한국사회과학 도서관,서울시 종로구 인왕산로1길  25,02-767-9514
비손어린이집,서울시 은평구 갈현로5길  32,
대방삼육외국어학원,서울시 동작구 알마타길 21-42,02-825-3605
노원보건소,서울시 노원구 노해로 437,02-2116-4501
꼬네상스어린이집,서울시 송파구 마천로1길 14,02-414-5008
리틀피카소어린이집,서울시 중랑구 겸재로64길 23,02-493-1692
삼성IT밸리,서울시 구로구 디지털로33길 27,02-2028-2364
구로고대병원,서울시 구로구 구로동로 148,02-2626-1114
고려수요양병원,서울시 금천구 남부순환로 1400,02-838-5558
문화빌딩(서울수정형외과),서울시 강동구 구천면로  200,02-487-6300
여의도고등학교,서울시 영등포구 국제금융로7길 37,070-8661-3103
금호초등학교,서울시 성동구 무수막길  69,02-2237-7495
상원초등학교,서울시 노원구 한글비석로54길 119,02-938-7974
서울평화초등학교,서울시 송파구 송파대로26길 22,02-443-2748
진관지구대 ,서울시 은평구 진관3로  38,02-358-0120
광성중고등학교,서울시 마포구 신수로8길 20,02-703-3457
연세대학교 재활학교,서울시 서대문구 연세로 50,02-2123-8141
밤비니어학원,서울시 송파구 위례성대로 108,02-423-8205
서울영원초등학교,서울시 영등포구 도신로29마길  14,02-835-9434
서울명신초등학교,서울시 종로구 낙산길 250,02-766-1415
대치게이트 어학원(셀라빌딩),서울시 강남구 도곡로 221,02-491-0509
서울 영중초등학교,서울시 영등포구 양산로   185,02-2633-9428
우이초등학교,서울시 강북구 삼양로 99-36,02-991-8722
연신중학교,서울시 은평구 연서로33길 16-32,02-383-7835
대학로예술극장,서울시 종로구 대학로10길 17,02-3668-0007
혜화초등학교,서울시 종로구 혜화로 32,02-762-6437
행현초등학교,서울시 성동구 행당로  95,02-2294-7614
금양초등학교,서울시 용산구 효창원로  137,02-704-2901
성신초등학교,서울시 성북구 북악산로  918,02-921-1813
새길병원,서울시 도봉구 삼양로 600,
양천경찰서,서울시 양천구 목동동로 99,02-2655-0112
대성학원,서울시 서초구 서초대로46길  19-12,02-585-9600
영일초등학교,서울시 구로구 남부순환로105길 218,02-861-0426
도봉병원&lt;신관&gt;,서울시 도봉구 도봉로 718,02-3492-3250
국립서울농학교,서울시 종로구 필운대로 103,02-737-0378
갈현초등학교,서울시 은평구 연서로29길 31,02-355-0835
정민학교,서울시 노원구 공릉로58길 24,02-978-8405
아현초등학교,서울시 마포구 굴레방로 6,02-313-5845
등촌2동주민센터,서울시 강서구 등촌로  143,02-2600-7395
묵2동주민센터,서울시 중랑구 동일로157길 29,02-2094-6440
본동어린이집,서울시 구로구 구로동로40길 21-1,02-3281-6529
종암중학교,서울시 성북구 종암로5길 80-17,02-928-7041
아주중학교,서울시 송파구 올림픽로4길 69,02-415-1696
마장중학교,서울시 성동구 마장로35나길 31,02-2282-2944
상신초등학교,서울시 은평구 가좌로 361,02-303-4245
동작초등학교,서울시 동작구 동작대로29길 214,02-537-1773
방이초등학교,서울시 송파구 위례성대로10길 4,02-420-8477
정덕초등학교,서울시 성북구 아리랑로  63,02-928-5528
서울 대영초등학교,서울시 영등포구 신길로23길 43,02-846-1997
행운동우체국,서울시 관악구 남부순환로  1841,02-871-2005
서울여대우체국(누리관1층),서울시 노원구 화랑로 621,
강동 도서관,서울시 강동구 양재대로116길 57,02-483-0728
서울구남초등학교,서울시 광진구 구의강변로 69,02-453-8921
중앙대학교병원,서울시 동작구 흑석로 102,02-6299-1114
에스플란트 치과병원,서울시 강남구 도산대로 410,02-512-0700
서울정문학교,서울시 관악구 난향3길  31,02-869-7188
인애가병원,서울시 송파구 마천로15길 6,02-3401-2260
신목중학교,서울시 양천구 목동중앙로 88,02-2648-2142
케이씨씨웰츠밸리,서울시 금천구 가산디지털1로  205-29,
구립토담어린이집,서울시 관악구 청림3길  37,
홈플러스 월드컵점,서울시 마포구 월드컵로 240,02-312-2080
더본정형외과,서울시 동작구 동작대로 67,02-587-2299
청하병원,서울시 동작구 장승배기로 108,02-815-3788
신명초등학교,서울시 강동구 명일로24길  33,02-489-4074
서울대 사법대학 간이식당,서울시 관악구 관악로  1,
숭의여자중학교,서울시 동작구 여의대방로36길 79,02-810-7700
원광초등학교,서울시 노원구 덕릉로76길 18,02-951-3358
숙명여대 새빛관,서울시 용산구 청파로47나길 90,02-710-9114
서울녹천초등학교,서울시 노원구 마들로3길 34,02-977-0670~1
연세영동병원,서울시 강동구 구천면로 202,02-487-5211
삼각산초등학교,서울시 강북구 삼양로 19-141,02-989-4366
영남중학교,서울시 영등포구 대림로31나길  17,02-831-7701
키즈피아어린이집,서울시 양천구 가로공원로60길 9-3,02-2646-9377
메가박스 목동,서울시 양천구 목동동로 309,1544-0070
튼튼병원,서울시 강동구 천호대로 1133,02-1577-3191
원효로우체국,서울시 용산구 원효로 227,02-715-1437
뚝섬우체국,서울시 성동구 뚝섬로3길  14,02-465-3633
회현동주민센터,서울시 중구 퇴계로36길 42,02-3396-6530
가양1동주민센터,서울시 강서구 허준로 30,02-2600-7785 
남부초등학교,서울시 관악구 남부순환로163길 14,02-857-5032
로고스치과병원,서울시 강서구 공항대로  281,02-2699-9908
노정형외과,서울시 중랑구 망우로 476,02-2209-0931
은평대영학교,서울시 은평구 갈현로11길 30,02-353-2040
가산중학교,서울시 금천구 시흥대로115길 48,02-804-1777
상신중학교,서울시 은평구 증산로15길 61,02-305-5136
강남자이 비뇨기과 병원,서울시 강남구 논현로 609,02-3448-7119
연세에덴병원,서울시 은평구 통일로 669,02-1577-5046/02-357-4567
오륜중학교,서울시 송파구 양재대로 1242,02-3434-4110
중곡제2동주민센터,서울시 광진구 능동로 346,02-450-1502
성내도서관,서울시 강동구 성안로 106-1,02-471-0044
청소년드림센터(용도변경),서울시 강남구 개포로28길 47,070-7545-0281
서대문청소년수련관,서울시 서대문구 연희로32길  129,02-334-0080
남성중학교,서울시 동작구 남부순환로269길 166,02-520-7504
도토리소풍(어린이집),서울시 강남구 테헤란로13길 34,02-558-0245
명덕외국어고등학교,서울시 강서구 강서로47길 34-10,02-2665-8818
주주어린이집,서울시 송파구 삼전로 7길 22,02-403-5005
혜민병원,서울시 광진구 자양로 85,02-453-3131
동원초등학교,서울시 중랑구 송림길 114,02-438-3141
동성고등학교,서울시 종로구 대학로 156,02-3671-9100
딩동댕어린이집,서울시 중랑구 망우로74가길 19,02-434-3365
아모르이그잼학원,서울시 동작구 노량진로 104,1588-2976
김영수병원(구정빌딩),서울시 강남구 언주로174길 15,02-1577-5075
화계초등학교,서울시 강북구 솔매로50가길 25,02-986-7782
송파청소년수련원,서울시 송파구 중대로4길 4,02-449-0500
참고은어린이집,서울시 구로구 고척로19길 8,02-2611-3040
예나어린이집,서울시 은평구 통일로73길 5-6,02-383-4270
한라시그마밸리,서울시 금천구 가산디지털2로 53,
응암동 노유자 증축대수선(은평중앙어린이집),서울시 은평구 은평로8길  15-4,
건국대학교 행정관,서울시 광진구 아차산로  263,02-450-3114
면목2동주민센터,서울시 중랑구 동일로101길 20-15,02-2094-6040
중계동우체국,서울시 노원구 한글비석로 286,02-952-0014
여러분병원,서울시 강남구 봉은사로  171,02-517-0770
영등포본동 주민센터,서울시 영등포구 신길로61길  17,02-2670-1049
성수1가1동주민센터,서울시 성동구 뚝섬로3길 18,02-2286-7421
시립동작도서관,서울시 동작구 장승배기로 94,02-823-6417
역삼도서관,서울시 강남구 역삼로7길  16,02-508-1139
컨벤션 디아망,서울시 강남구 역삼로 607,
에머럴드 빌딩(BK의원),서울시 강남구 도산대로  122,
낙성대주민센터,서울시 관악구 난곡로30길  40,02-879-4411
연세SK병원,서울시 강남구 학동로4길 7,02-2156-8888
현대홈쇼핑,서울시 강동구 올림픽로70길 34,02-2143-2000/1600-0000
공안과,서울시 강동구 풍성로37길 45,02-480-5000
신당초등학교,서울시 중구 손기정로 73,02-2232-2892
서울과학고등학교,서울시 종로구 혜화로 63,02-740-6299
오금고등학교,서울시 송파구 중대로 247,02-406-0592
선일초등학교,서울시 은평구 갈현로29길 27,02-355-0160
더원학원(대림빌딩),서울시 강남구 삼성로 345,02-508-5336
충현동주민센터,서울시 서대문구 북아현로22길 38,02-330-8101
중계4동주민센터,서울시 노원구 덕릉로82길 50,02-2116-2714
대림2동주민센터,서울시 영등포구 대림로  170,02-2670-1419
국민건강보험공단 중랑지사,서울시 중랑구 망우로 262,1577-1000
호림 아트센터,서울시 강남구 도산대로45길 6,
신월3동주민센터,서울시 양천구 남부순환로54길 5,02-2620-4090
디아뜨갤러리(학원),서울시 중랑구 신내로 225,
고려새한병원,서울시 강북구 도봉로 67,02-981-5161
신계초등학교,서울시 노원구 초안산로 29,02-902-0009
서울사대 부속 중학교,서울시 종로구 대학로 64,
을지중학교,서울시 노원구 덕릉로 580,02-938-7083
오남중학교,서울시 구로구 오리로9길 25,02-2687-4235
노원솔요양병원,서울시 노원구 덕릉로 690,02-932-0036
동작우체국,서울시 동작구 여의대방로22길 77,02-822-0384
행당2동치안센터,서울시 성동구 행당로 95,02-2292-1812
군자동주민센터,서울시 광진구 군자로  151,02-450-1516
갈현1동주민센터,서울시 은평구 갈현로 301,02-351-5092
혜화경찰서,서울시 종로구 창경궁로 112-16,02-747-0112
동숭아트센터,서울시 종로구 동숭길 122,02-766-3390
원효지구대,서울시 용산구 백범로  329,02-711-3090
연세정형외과,서울시 송파구 거마로  62,
이마트 마포공덕점,서울시 마포구 백범로 212,02-2197-1234
강북구청,서울시 강북구 도봉로89길  13,02-901-6114
월드메르디앙벤처센타,서울시 금천구 벚꽃로 254,
우림이비즈센터,서울시 성동구 광나루로6길  35,
대륭테크노타운12차,서울시 금천구 가산디지털2로  14,02-2029-6114
보듬이 나눔이어린이집,서울시 노원구 한글비석로39길 16-5,02-932-1077
정일학원(부광빌딩),서울시 양천구 오목로 210,02-2690-1500
노량진행정고시학원,서울시 동작구 노량진로 171,
대일외고,서울시 성북구 서경로  116,02-918-3169
영등포구청,서울시 영등포구 당산로 123,02-2670-3114
개봉1동주민센터,서울시 구로구 경인로33길 52,02-2620-7150
망우지구대,서울시 중랑구 망우로 391,02-434-8608
불광2동주민센터,서울시 은평구 연서로41길  16,02-351-5062
남서울웨딩,서울시 강남구 강남대로 648,
예은 몬테소리 어린이집,서울시 강남구 광평로 144,
소공동 롯데호텔 크리스탈볼룸,서울시 중구 소공동 1번지 롯데호텔 2층,
프린스 어학원(모아코빌딩),서울시 강남구 선릉로116길 57,02-553-7106
YBM강남센터,서울시 강남구 강남대로 408,02-565-0509
추계예술대학교 창조관,서울시 서대문구 북아현로11가길 7,02-362-5700
한국외국어대학교,서울시 동대문구 이문로 107,02-2173-2114
동양공업 전문대학,서울시 구로구 경인로 445,02-2610-1700
한국 방송 통신대학,서울시 종로구 대학로 86,1577-9995
서울문화고,서울시 도봉구 마들로 598,02-955-9100
난타전용관(명동),서울시 중구 명동 2가 50-14 유네스코빌딩 3층,
세모네모재능어린이집,서울시 중랑구 중랑역로 72-8,
광영여자고등학교,서울시 양천구 남부순환로30길 17,070-4173-6005
구립한아름어린이집,서울시 양천구 중앙로55길 6-1,02-2690-6837
동아키즈어린이집,서울시 송파구 동남로8길 1,
암사2동 주민자치센터,서울시 강동구 상암로3길 28,02-3425-7610
태랑중학교,서울시 노원구 화랑로51나길 51,02-973-1355
이투스학원,서울시 동작구 노량진로 186,02-821-9001
가락고등학교,서울시 송파구 송이로 42,02-416-4657
장수초등학교,서울시 양천구 신정로13가길 30,070-8668-2605
삼성고등학교,서울시 관악구 신림로  41,02-871-7582
응암동지구대,서울시 은평구 은평로 171,02-352-4289
오류2치안센터,서울시 구로구 오류로 71,02-2612-0113 
신성어린이집,서울시 강서구 양천로28길  18,02-2661-1800
용두동우체국,서울시 동대문구 청계천로 497,02-925-0110
서울중화동우체국,서울시 중랑구 동일로 784,02-435-2005
안천중학교,서울시 금천구 한내로 69-44,02-894-1204
수유1동지구대,서울시 강북구 삼양로 305,
강남우체국,서울시 강남구 언주로 721,02-2040-4021
엘리시아,서울시 금천구 디지털로  173,
나무를키우는 햇살 어린이집,서울시 중랑구 양원역로 20-5,02-437-4374
가원어린이집,서울시 송파구 오금로57길 22,02-408-1074
강북청소년수련관,서울시 강북구 한천로 1256,
남영디지털타워,서울시 성동구 성수일로  84,02-499-4546
대명중학교,서울시 강남구 역삼로87길 26,02-5665-3025
영본초등학교,서울시 동작구 만양로12가길 69,02-815-4371
장충체육관,서울시 중구 장충동2가 200-102,
역삼1문화센터,서울시 강남구 역삼동 829-20,
광화문 아트홀,서울시 종로구 도서관1길 15 (사직동 284-1),
역삼종합시장,서울시 강남구 논현로63길 16,02-567-3424
신림동우체국,서울시 관악구 대학5길 38,02-889-2005
대방중학교,서울시 동작구 여의대방로10길 24,02-831-2502
역삼지구대(증축),서울시 강남구 강남대로 450,02-562-1623
제일유치원,서울시 성북구 오패산로 49,02-941-9979
을지로동사무소,서울시 중구 충무로9길 19,02-3396-6680
경기상업고등학교,서울시 종로구 자하문로 136,02-737-6490
페디아 어학원(다보빌딩),서울시 강남구 영동대로85길 20-9,
수명고등학교,서울시 강서구 수명로2길 15,02-2667-8702
백석대학원,서울시 서초구 효령로 114,02-520-0704
CTS기독교방송국,서울시 동작구 노량진로 100,02-6333-1000
한국성서대학교(c동 도서관),서울시 노원구 동일로214길 32,02-950-5401
전통예술중학교 제2인문관,서울시 금천구 시흥대로38길 62,02-896-1094
천사병원,서울시 동대문구 서울시립대로 57,02-2213-8004
서울대학교 LG경영관,서울시 관악구 관악로 1,
금융고등학교,서울시 양천구 가로공원로61길 19,02-2694-3710
명성학원,서울시 은평구 은평로 216,02-353-3500
상수초등학교,서울시 노원구 동일로216길 66,02-932-1442
망우본동우체국,서울시 중랑구 망우로 447,02-496-2005
광신중고상업고등학교,서울시 관악구 광신길  141,02-881-8532
증산중학교,서울시 은평구 증산로5길 27-30,02-303-9294
송곡여자중학교,서울시 중랑구 양원역로 67,070-7124-3522
이화여자고등학교,서울시 중구 퇴계로 375,02-752-3353
좋은그림미술학원,서울시 양천구 오목로 280,02-2642-5555
묘곡초등학교,서울시 강동구 동남로79길 46,02-427-4167
키즈킹덤어린이집,서울시 강서구 강서로8길  134,02-2697-6711
정일빌딩(대성학원),서울시 강서구 곰달래로 170,02-2605-6241
동서울아카데미,서울시 강동구 천호대로151길 36,02-488-6666
서울지방통계청,서울시 강남구 개포로 617,02-3438-8500
드림비뇨기과 피부과,서울시 은평구 가좌로 271,
이마트 월계점,서울시 노원구 마들로3길 15,02-2092-1234
롯데호텔및백화점,서울시 중구 마장로1길 21,02-771-2500
은평메디텍고등학교,서울시 은평구 진관2로 57-57,070-4020-6801
육영학교,서울시 송파구 충민로6길 15,02-443-9782
고척중학교,서울시 구로구 중앙로3길 20,02-6917-7102
신석초등학교,서울시 마포구 대흥로 33,02-715-3669
강동미즈여성병원,서울시 강동구 천호대로 1043,02-470-9114
신천중학교,서울시 송파구 백제고분로 11,02-422-3946
경일고등학교,서울시 성동구 성수일로 27,070-4099-7000
상봉초등학교,서울시 중랑구 동일로126가길 11,02-432-5237
원묵초등학교,서울시 중랑구 숙선옹주로  109,02-3421-2100
동교초등학교,서울시 마포구 월드컵로25길 86,02-324-5091
새희망병원,서울시 송파구 오금로 488,02-1544-3049
대성중학교,서울시 은평구 갈현로29길 51-24,02-350-0550
명덕여자중학교,서울시 강서구 강서로47길  34-10,02-2664-8813
북한산초등학교,서울시 은평구 대서문길 42-3,02-359-9824
동호초등학교,서울시 성동구 동호로5길 133,02-2299-8370
삼선초교병설유치원,서울시 성북구 보국문로29길  106,02-745-7116
명지춘혜병원,서울시 영등포구 대림로 223,02-833-0733
코오롱 디지털타워 애스턴,서울시 금천구 가산디지털1로  212,
풍문여자고등학교,서울시 종로구 율곡로3길 4,02-732-2937
신나라어린이집,서울시 송파구 백제고분로22길 3-5,02-2202-4598
신림동 어린이집,서울시 관악구 난곡로26길  78,02-857-4141
푸른어린이집,서울시 동작구 사당로14길 58,
사범대학부속고등학교체육관겸강당,서울시 광진구 능동로  120,070-7012-3500
서울 영신초등학교,서울시 영등포구 도신로60길  23,02-848-8560
새움병원,서울시 금천구 시흥대로  449,02-862-6000
국민연금공단노원지사(KT8층),서울시 노원구 노해로 502,02-1355
CGV영등포,서울시 영등포구 여의공원로 101,1544-1122
연희중학교,서울시 서대문구 증가로 170,02-372-2992
도봉도서관,서울시 도봉구 삼양로 556,02-6714-7400
작은도서관,서울시 강남구 도곡로77길 23,02-3452-1170
증산초등학교,서울시 은평구 증산서길  61,02-373-6305
중화중학교,서울시 중랑구 용마산로 364,02-439-5811
배재고등학교,서울시 강동구 고덕로 227,02-441-8171
신목고등학교,서울시 양천구 안양천로 739,070-8720-5010
당곡중학교,서울시 관악구 봉천로21길 108,02-870-7700
녹천중학교,서울시 노원구 월계로 376,02-978-4592
목일중학교,서울시 양천구 목동동로8길  70,02-2654-2685
CGV 송파,서울시 송파구 문정동 294 가든파이브 라이프 YOUNG관 10층,
이화어린이집,서울시 도봉구 우이천로34길 33,02-999-9339
성일중학교,서울시 동대문구 왕산로23길 55,02-926-0211
명지대인문캠퍼스 경상관,서울시 서대문구 거북골로 34,
세라핌어린이집,서울시 구로구 고척로18길  92,
충정로우체국,서울시 서대문구 통일로  127,02-362-0004
백상스타타워 2차,서울시 금천구 가산디지털2로  165,
에이스하이엔드타워6차,서울시 금천구 벚꽃로  234,080-855-3344
강동어린이회관,서울시 강동구 성내로6길 16,02-486-3516
신흥어린이공원 공중화장실,서울시 은평구 증산로21길  25,
시흥4동시범공중화장실,서울시 금천구 독산로54길 6,
원효로2동주민센터,서울시 용산구 효창원로8길  3,02-712-4194
여의도우체국,서울시 영등포구 여의나루로 60,02-783-0014
연세사랑정형외과,서울시 노원구 동일로 1005,
롯데시네마 브로드웨이,서울시 강남구 도산대로8길 8,1544-8855
교육촌어린이집,서울시 노원구 월계로44길 61,02-911-8617
이앤씨드림타워8차,서울시 금천구 가산디지털1로  45,
오주중학교,서울시 송파구 동남로 281,02-3434-7500
석촌중학교,서울시 송파구 송이로15길 13,02-448-4031
수유중학교,서울시 강북구 인수봉로 37-40,02-945-6102
잠실2동주민센터,서울시 송파구 올림픽로 15,02-2147-4630
가원중학교,서울시 송파구 중대로10길 40-18,02-409-2179
월촌중학교,서울시 양천구 목동서로 31,02-2648-8570
영등포우체국,서울시 영등포구 경인로 841,02-2678-0014
홈플러스 목동점,서울시 양천구 목동서로 170,02-2644-2080
E&amp;C벤쳐드림타워3차,서울시 구로구 디지털로31길 38-21,010-7360-****
성덕여자상업고등학교,서울시 강동구 구천면로  396,02-475-4620~5
오금공원인라인장화장실,서울시 송파구 오금로 363,02-2147-3380
봉원공용화장실,서울시 서대문구 봉원사길 101-18,
공중화장실6호,서울시 구로구 구로동로17길 66,
목련공원화장실,서울시 송파구 동남로24길 25,
묵1동주민센터,서울시 중랑구 공릉로2가길 5,02-2094-6400
석플란트 치과,서울시 강남구 도산대로 238,02-555-0001
관악고,서울시 영등포구 영등포로6길 26,02-2633-5954
해성국제컨벤션고등학교,서울시 동대문구 전농로20길 31,070-8786-1300
등촌동 구립도서관,서울시 강서구 강서로62길  48,02-3664-6990
구암중학교,서울시 관악구 성현로 53,02-881-2999
태영빌딩석계Plus어학원,서울시 성북구 한천로76다길 46,02-966-6455
연희동빌딩(ECC어학원),서울시 서대문구 연희로  160,
아현동주민센터,서울시 마포구 마포대로7길 18,02-3153-6530
영등포중학교,서울시 동작구 등용로8길 3,02-815-6572
보광동주민센터,서울시 용산구 장문로  95,02-2199-8700
연서중학교,서울시 은평구 증산서길 125-6,02-6715-8104
로하스은평효병원,서울시 은평구 연서로  209,
장위1동주민센터,서울시 성북구 장위로  61,
송정동주민센터,서울시 성동구 동일로43길   13,02-2286-7501
구로1동 주민센터,서울시 구로구 구일로4길 57,02-2620-7200
청담도서관,서울시 강남구 압구정로79길  26,02-540-7042
즐거운어린이집,서울시 강북구 삼각산로 57,
숭인1동사무소,서울시 종로구 지봉로 86,02-2148-5483
노량진2동주민센터,서울시 동작구 장승배기로19길 48,02-812-0903
창동제일의원,서울시 도봉구 노해로65길 17-13,02-900-5011
미아초등학교,서울시 성북구 삼양로  77,02-912-4014
성수중학교,서울시 성동구 서울숲길 18,02-436-4786
문정초등학교,서울시 송파구 문정로5길 20,02-404-7851
갈산초등학교,서울시 양천구 목동로 31,02-2649-7232
강동성모요양병원(별관),서울시 강동구 진황도로 124,02-488-0020
동작중학교,서울시 동작구 동작대로39가길 83,02-591-6595
노원중학교,서울시 노원구 동일로213길 26,070-4032-6409
올림픽병원,서울시 송파구 백제고분로  283,02-1644-2119
동그라미유치원,서울시 동작구 사당로28길 34,02-587-5599
연세바른병원,서울시 동작구 사당로 300,02-1544-8235
